{Frame : 161 , similarity : 6.45 }
{Frame : 162 , similarity : 7.41 }
{Frame : 163 , similarity : 7.96 }
{Frame : 164 , similarity : 8.52 }
{Frame : 165 , similarity : 8.73 }
{Frame : 166 , similarity : 8.47 }
{Frame : 167 , similarity : 11.69 }
{Frame : 168 , similarity : 10.07 }
{Frame : 169 , similarity : 15.57 }
{Frame : 170 , similarity : 15.93 }
{Frame : 171 , similarity : 18.93 }
{Frame : 172 , similarity : 23.43 }
{Frame : 173 , similarity : 21.15 }
{Frame : 174 , similarity : 39.70 }
{Frame : 175 , similarity : 44.09 }
{Frame : 176 , similarity : 60.70 }
{Frame : 177 , similarity : 62.81 }
{Frame : 178 , similarity : 78.91 }
{Frame : 179 , similarity : 82.37 }
{Frame : 180 , similarity : 83.54 }
{Frame : 181 , similarity : 88.11 }
{Frame : 182 , similarity : 92.59 }
{Frame : 183 , similarity : 90.78 }
{Frame : 184 , similarity : 47.56 }
{Frame : 185 , similarity : 32.91 }
{Frame : 186 , similarity : 21.56 }
{Frame : 187 , similarity : 28.31 }
{Frame : 188 , similarity : 22.77 }
{Frame : 189 , similarity : 69.22 }
{Frame : 190 , similarity : 65.82 }
{Frame : 191 , similarity : 68.63 }
{Frame : 192 , similarity : 80.04 }
{Frame : 193 , similarity : 85.86 }
{Frame : 194 , similarity : 90.95 }
{Frame : 195 , similarity : 79.50 }
{Frame : 196 , similarity : 83.97 }
{Frame : 197 , similarity : 77.80 }
{Frame : 198 , similarity : 66.32 }
{Frame : 199 , similarity : 63.49 }
{Frame : 200 , similarity : 77.20 }
{Frame : 201 , similarity : 79.93 }
{Frame : 202 , similarity : 77.41 }
{Frame : 203 , similarity : 71.86 }
{Frame : 204 , similarity : 89.07 }
{Frame : 205 , similarity : 83.63 }
{Frame : 206 , similarity : 89.83 }
{Frame : 207 , similarity : 85.13 }
{Frame : 208 , similarity : 76.97 }
{Frame : 209 , similarity : 71.53 }
{Frame : 210 , similarity : 63.57 }
{Frame : 211 , similarity : 70.92 }
{Frame : 212 , similarity : 37.89 }
{Frame : 213 , similarity : 42.05 }
{Frame : 214 , similarity : 55.98 }
{Frame : 215 , similarity : 53.62 }
{Frame : 216 , similarity : 48.79 }
{Frame : 217 , similarity : 47.40 }
{Frame : 218 , similarity : 67.24 }
{Frame : 219 , similarity : 74.97 }
{Frame : 220 , similarity : 79.80 }
{Frame : 221 , similarity : 67.13 }
{Frame : 222 , similarity : 76.60 }
{Frame : 223 , similarity : 70.80 }
{Frame : 224 , similarity : 74.29 }
{Frame : 225 , similarity : 60.44 }
{Frame : 226 , similarity : 30.23 }
{Frame : 227 , similarity : 64.36 }
{Frame : 228 , similarity : 68.65 }
{Frame : 229 , similarity : 72.83 }
{Frame : 230 , similarity : 74.24 }
{Frame : 231 , similarity : 70.08 }
{Frame : 232 , similarity : 61.83 }
{Frame : 233 , similarity : 58.48 }
{Frame : 234 , similarity : 70.30 }
{Frame : 235 , similarity : 78.04 }
{Frame : 236 , similarity : 81.78 }
{Frame : 237 , similarity : 82.82 }
{Frame : 238 , similarity : 83.35 }
{Frame : 239 , similarity : 82.30 }
{Frame : 240 , similarity : 86.51 }
{Frame : 241 , similarity : 88.60 }
{Frame : 242 , similarity : 87.38 }
{Frame : 243 , similarity : 88.70 }
{Frame : 244 , similarity : 90.42 }
{Frame : 245 , similarity : 90.89 }
{Frame : 246 , similarity : 91.07 }
{Frame : 247 , similarity : 89.98 }
{Frame : 248 , similarity : 87.56 }
{Frame : 249 , similarity : 90.15 }
